"","unknown","joy","sadness","anger","surprise","fear","disgust"
"classjsdisplayurlmtmimedjospanspan",1,0,0,0,0,0,0
"classjsdisplayurlndtvingdhyvspanspan",0,1,0,0,0,0,0
"classjsdisplayurlowlydzjzspanspan",1,0,0,0,0,0,0
"classjsdisplayurlpictwittercomqemrquistpspanspan",1,0,0,0,0,0,0
"classjsdisplayurlpsxmoneycontrolcomspanspan",1,0,0,0,0,0,0
"classjsdisplayurlrblmsoxgfspanspan",1,0,0,0,0,0,0
"classjsdisplayurltinyurlcomkcxyzmspanspan",1,0,0,0,0,0,0
"classjsdisplayurltinyurlcomkgotmkspanspan",1,0,0,0,0,0,0
"classjsdisplayurltinyurlcommsaadxpspanspan",1,0,0,0,0,0,0
"classjsdisplayurltinyurlcomqplxospanspan",0,1,0,0,0,0,0
"classjsdisplayurltlgdnifkspanspan",0,0,0,1,0,0,0
"classjsdisplayurlyoutubeesymnbmsfspanspan",1,0,0,0,0,0,0
"classjsdisplayurlyoutubekpjswahftspanspan",4,0,0,0,0,0,0
"classjsdisplayurlyoutubeqbmbwaspanspan",1,0,0,0,0,0,0
"classjsdisplayurlyoutubeqwpvtgvuomaspanspan",1,0,0,0,0,0,0
"classjsdisplayurlyoutubeqwpvtgvuomspanspan",1,0,0,0,0,0,0
"classjsdisplayurlyoutubezafgsmdjcaspanspan",1,0,0,0,0,0,0
"classjsdisplayurlyoutubezfyzxxzspanspan",1,0,0,0,0,0,0
"classtcoellipsisspan",119,12,0,2,0,0,0
"classtcoellipsisspanspan",119,12,0,2,0,0,0
"classtwitteratrepli",468,47,12,6,5,5,1
"classtwitterhashtag",551,48,15,14,2,5,0
"classtwittertimelinelink",137,21,0,5,0,1,0
"clean",0,2,0,0,0,0,0
"clear",8,0,0,0,0,0,0
"clg",0,0,0,0,0,1,0
"close",1,0,0,0,0,0,0
"clout",1,0,0,0,0,0,0
"coach",1,0,0,0,0,0,0
"codecalcutta",1,0,0,0,0,0,0
"collect",1,1,0,0,0,0,0
"colleg",3,0,0,0,0,0,0
"coma",0,1,0,0,0,0,0
"come",9,1,2,3,0,0,0
"comic",1,0,0,0,0,0,0
"comment",0,1,0,0,0,0,0
"commit",8,1,0,0,0,0,0
"common",1,0,1,0,0,0,0
"communal",3,0,0,0,0,0,0
"compani",6,0,0,0,0,0,0
"compar",2,0,0,0,0,0,0
"compart",1,0,0,0,0,0,0
"competit",1,0,0,0,0,0,0
"complet",1,0,1,0,0,0,0
"complex",1,0,0,0,0,0,0
"con",0,0,0,4,0,0,0
"concern",1,0,0,0,0,0,0
"condit",1,0,0,0,0,0,0
"conduct",1,0,0,0,0,0,0
"conferen",0,0,1,0,0,0,0
"confus",2,0,0,0,0,0,0
"cong",5,0,0,0,0,0,1
